Name,Type,Stat Affected,Description,Stage Drop Location
Spinach,Passive,Might,"Slightly increases damage dealt by the player","Mad Forest, Whiteout, Mt.Moonspell"
Hollow Heart,Passive,Max Health,"Increases maximum HP","Mad Forest"
Pummarola,Passive,Recovery,"Provides passive HP regeneration","Mad Forest, Mt.Moonspell"
Clover,Passive,Luck,"Improves drop rates and luck-based effects","Mad Forest, Laborratory, Lake Foscari"
Skull O'Maniac,Passive,Curse,"Increases enemy spawn rate, health and speed","Mad Forest, Whiteout, Lake Foscari, Abyss Foscari"
Stone Mask,Passive,Greed,"Increases gold gain from pickups and chests","Inlaid Library, Mt.Moonspell, Abyss Foscari"
Empty Tome,Passive,Cooldown,"Reduces weapon cooldowns","Inlaid Library, Space 54, Abyss Foscari"
Attractorb,Passive,Magnet,"Expands pickup attraction radius","Dairy Plant, Laborratory, Mt.Moonspell, Abyss Foscari, Tiny Bridge"
Candelabrador,Passive,Area,"Increases weapon area of effect","Dairy Plant, Space 54, Mt.Moonspell"
Wings,Passive,Move Speed,"Increases character movement speed","Dairy Plant, Whiteout, Tiny Bridge, Neo Galuga"
Armor,Passive,Armor,"Reduces incoming damage","Dairy Plant, Lake Foscari, Abyss Foscari"
Bracer,Passive,Speed,"Increases projectile speed","Gallo Tower, Lake Foscari"
Spellbinder,Passive,Duration,"Extends weapon effect duration","Gallo Tower, Laborratory"
Duplicator,Passive,Amount,"Adds extra projectiles to weapons","Cappella Magna, Mt.Moonspell"
Crown,Passive,Growth,"Increases experience gem value","Cappella Magna, Lake Foscari, Abyss Foscari"
Tirajisú,Passive,Revival,"Grants extra lives","Cappella Magna, Ode to Castlevania"
Silver Ring,Passive,Area+Duration,"Increases area and duration","Hidden (after Yellow Sign) - north"
Gold Ring,Passive,Curse,"Increases enemy spawns","Hidden (after Yellow Sign) - south"
Metaglio Left,Passive,MaxHealth+Recovery,"Increases max HP and recovery","Hidden (after Yellow Sign) - west"
Metaglio Right,Passive,Curse+Might,"Increases curse and might","Hidden (after Yellow Sign) - east"
Torrona's Box,Special,Might+Area+Speed+Duration+Curse,"Powerful all-stat bonus item","Abyss Foscari (rare)"
